Campus Caruaru
Música Canto - Bacharelado,/documents/39215/0/musica_canto_perfil_9304.pdf/2a0f4e4a-b7b8-46a6-a044-483ba9132c6a
Música Instrumento - Bacharelado,/documents/39219/0/musica_instrumento_perfil_9204.pdf/8147d1ff-56cd-4c1a-8edf-dfcaf905217a
Nutrição - Bacharelado,/documents/455971/0/nutricao_perfil_6308.pdf/212fd33c-78c7-44a7-b0e3-460670560a58
Odontologia - Bacharelado,/documents/39346/0/odontologia_perfil_6405.pdf/3e49b407-724b-472e-926e-46b7056d2bd6
Pedagogia - Licenciatura,http://legis.senado.gov.br/legislacao/ListaTextoIntegral.action?id=138781&norma=160261
Psicologia - Bacharelado,/documents/498533/0/psicologia_perfil_6613.pdf/dca371f8-ac99-4bff-871c-07c92ad2a94d
Publicidade e Propaganda - Bacharelado,/documents/39223/0/publicidade_propaganda_perfil_9506.pdf/59a86ea5-682f-4e8e-8ae4-9454e10c6bf7
Química - Bacharelado,/documents/39300/0/quimica_bacharelado_perfil_5106.pdf/e0eb138e-72b3-446d-b12e-95858965652d
Química - Licenciatura,/documents/39304/0/quimica_licenciatura_perfil_5008.pdf/24e8e9ea-3feb-4631-96cb-1f2f5afec48d
Química Industrial - Bacharelado,/documents/39308/0/perfil+qi+4106.pdf/ff4c42b1-e23c-4dfd-90fa-9bbeb3b82d10
Radio, TV e Internet - Bacharelado,/documents/39227/0/radio_tv_internet_perfil_9703.pdf/0fe6c417-af0a-408d-9aa5-d676d0b2c4cd
Secretariado Executivo - Bacharelado,https://www.ufpe.br/documents/39386/0/Relat%C3%B3rio+Perfil+Curricular+1507+-+SECRETARIADO+EXECUTIVO.pdf/d015d218-e93c-4d58-aaaa-447413ffd8b6
Serviço Social - Bacharelado,/documents/39390/0/servico_social_perfil_1404.pdf/537eb082-ae13-4b9f-b8d2-6a100caa1dcb
Sistemas de Informação - Bacharelado,/documents/39447/0/sistemas_informacao_perfil_10115.pdf/436c2655-4956-466b-b185-5edddd48e9c5
Teatro - Licenciatura,/documents/39231/0/teatro_perfil_1111.pdf/5bbab7dd-6bc1-4efd-9139-f65b6c9de4bd
Terapia Ocupacional - Bacharelado,/documents/39350/0/terapia_ocupacional_perfil_6905.pdf/db17063b-b768-4b9d-b3b7-fee0ca913319
Turismo - Bacharelado,/documents/39394/0/PERFIL+CURRICULAR+-+atualizado+em+07-04-2020.pdf/414b4ba9-3431-4ff3-84f7-8107a8296108
Campus Vitória
Ciências Biológicas - Licenciatura,/documents/39235/525378/PPC-Biologicas.pdf/96389d06-2da8-414f-a087-b51bc7efb472
Educação Física - Bacharelado,/documents/39239/545799/PPC-+Bacharelado+Educa%C3%A7%C3%A3o+F%C3%ADsica+Bacharelado.pdf/7d18973c-823c-4d64-b5d3-25426e3f809d
Educação Física - Licenciatura,/documents/39243/545912/PPC+Licenciatura+em+Educa%C3%A7%C3%A3o+F%C3%ADsica.pdf/c6450685-c92b-4f45-bed0-06dbda1b80a7
Enfermagem,/documents/39247/545964/PPC+-+Perfil+2+-+Enfermagem.pdf/2a8cdac9-80a4-49d1-98cb-766baa5326a2
Nutrição - Bacharelado,/documents/39251/546011/PPC+Reformado.pdf/554bdc51-68c6-490f-bff7-e0fc2ff9fffd
Saúde Coletiva,/documents/39255/507500/PPC+-+Sa%C3%BAde+Coletiva.pdf/44173e47-8804-4a6f-add7-e36dc266ddb3
